name,country,speed,price,max_devices,logging_policy,data_encryption,handshake_encryption,trial_available
3Monkey,Switzerland,5.0,7.07,1,partial_logs,AES-256,RSA-2048,yes
AceVPN,United States,5.0,4.59,2,partial_logs,AES-256,RSA-2048,no
ActiVPN,France,5.0,3.34,5,no_logs,AES-256,RSA-2048,no
AirVPN,Italy,0.0,4.93,3,no_logs,AES-256,RSA-4096,yes
Anonine,United Kingdom,5.0,3.99,5,partial_logs,AES-256,RSA-2048,no
Anonymizer,United States,5.0,6.67,6,no_logs,AES-256,RSA-2048,yes
AnonymousVPN,Seychelles,5.0,5.75,3,partial_logs,AES-256,RSA-2048,no
Astrill,Seychelles,0.0,5.83,2,partial_logs,AES-256,RSA-2048,yes
Autistici / Inventati,Italy,5.0,0.0,25,no_logs,AES-256,RSA-2048,yes
Avast Secureline,Czech Republic,5.0,6.67,1,partial_logs,AES-256,RSA-2048,yes
AzireVPN,Sweden,0.0,4.11,5,no_logs,AES-256,RSA-2048,yes
BeeVPN,Denmark,5.0,7.17,1,no_logs,AES-256,RSA-2048,no
BlackVPN,Hong Kong,5.691,9.03,3,no_logs,AES-256,RSA-4096,no
Blockless,Canada,5.0,4.17,1,no_logs,AES-256,RSA-2048,no
BolehVPN,Seychelles,5.0,6.67,2,no_logs,AES-256,RSA-2048,yes
Boxpn,Seychelles,0.0,2.99,3,no_logs,AES-256,RSA-2048,no
BTGuard,United States,5.0,7.5,1,no_logs,AES-256,RSA-2048,no
Buffered,Hungary,5.0,9.99,5,partial_logs,AES-256,RSA-2048,no
CactusVPN,Moldova,0.0,4.59,3,no_logs,AES-256,RSA-4096,yes
Celo,Australia,0.0,5.5,5,partial_logs,AES-256,RSA-2048,yes
ChillGlobal,Germany,5.0,5.7,1,no_logs,AES-256,RSA-2048,yes
Cloak,United States,5.0,8.34,25,partial_logs,AES-256,RSA-2048,yes
CrypticVPN,United States,5.0,2.09,1,no_logs,AES-256,RSA-2048,no
CryptoHippie,United States,0.0,22.92,1,partial_logs,AES-256,RSA-2048,no
CryptoStorm,Iceland,0.0,3.92,1,no_logs,AES-256,RSA-2048,yes
CyberGhost,Romania,5.0,5.84,1,no_logs,AES-256,RSA-2048,no
DathoVPN,Panama,5.0,6.0,1,no_logs,AES-256,RSA-2048,yes
DissembleVPN,nan,0.0,0.75,1,no_logs,AES-256,RSA-4096,no
DotVPN,Hong Kong,5.0,3.0,3,partial_logs,AES-256,RSA-2048,yes
Doublehop.me,Seychelles,0.0,2.75,1,no_logs,AES-256,RSA-4096,no
EarthVPN,Northern Cyprus,0.0,3.34,3,no_logs,AES-256,RSA-2048,no
ExpressVPN,British Virgin Islands,5.0,8.32,3,partial_logs,AES-256,AES-256,no
Faceless.ME,Cyprus,5.0,5.0,1,partial_logs,AES-256,RSA-2048,yes
FinchVPN,Malaysia,0.0,3.22,1,partial_logs,AES-256,RSA-2048,yes
FlowVPN,nan,5.0,3.99,4,partial_logs,AES-256,RSA-2048,yes
FlyVPN,nan,5.0,6.67,1,partial_logs,AES-256,RSA-2048,yes
Freedom-IP,nan,5.0,4.58,5,partial_logs,AES-256,RSA-2048,yes
Freedome,Finland,0.0,4.16,3,no_logs,AES-256,RSA-2048,yes
FreeVPN Ninja,nan,5.0,0.0,25,no_logs,AES-256,RSA-2048,yes
FrootVPN,Sweden,5.0,3.0,3,no_logs,AES-256,RSA-2048,no
